Geno,DigitalBiomass,leafArea3D,leafAreaIndex,LeafAngle,LeafInclination,LightPenetrationDepth,PlantHeight,ProjectedLeafArea
G135,54165733.34,95496.83333,0.367296667,48.36,1.338666667,191.6513333,567.2316667,71084.46667
G136,47854166.67,96739.54999,0.372076667,50.1725,1.305333334,173.773,529.8571667,74462.96667
G137,51255733.33,93044.33334,0.357863333,48.44766667,1.338333333,177.4816667,551.902,69583.13333
G138,56684966.67,104093.0667,0.400356667,49.047,1.325,168.2326667,549.3943333,78535.8
G139,41919533.33,78326.26666,0.301253334,48.47033334,1.34,153.8673333,561.409,58761.96667
G140,47556866.67,86740.93334,0.333616667,47.94033333,1.347666667,192.298,550.6266666,64354.93333
G141,44773566.66,92596.2,0.356136666,51.14066667,1.289666667,123.2486667,551.8696667,73041.4
G142,44377550,82181.25,0.316083333,46.74016667,1.381166666,177.0125,544.286,60146.36667
G143,43982050,88276.75001,0.339523333,49.37016667,1.321,109.5353333,514.1116667,63054.78333
G144,52986033.33,100542.0333,0.386696667,50.129,1.327333333,150.0113333,548.559,77530.76667
G145,54998733.33,93468.40001,0.359496667,46.75566667,1.373,130.6806667,568.8083334,70088.3
G146,51860600,102396.5,0.39383,49.43266667,1.322666667,144.318,507.5306667,78451.46666
G147,42084133.33,72192,0.277663333,47.03066667,1.369666667,213.3563333,581.7803333,52506.73333
G148,47723400,90671.56667,0.348736667,47.71733333,1.361333333,118.8163333,549.487,71009.76667
G149,41204233.33,80732.5,0.31051,50.161,1.307333333,111.1176667,536.0981667,64243.96667
G150,42618333.33,73861.46667,0.284083333,46.72,1.376333333,205.1893333,576.1686667,53247.7
G151,42354966.67,75010.86667,0.288503333,46.07866667,1.392,198.017,562.4643334,53989.86667
G152,51518483.33,96711.43332,0.371966667,50.19383333,1.305166667,103.9691667,559.6023333,77551.45
G153,39159666.67,79583.23333,0.306086666,48.14766667,1.342666667,148.699,536.534,57577.13333
G154,40689333.34,72744.73333,0.279786666,47.00033333,1.371666666,195.439,561.6263333,53293.3
G155,51905383.33,93926.7,0.361253333,47.87233333,1.351333333,177.4768333,547.9601667,69901.08333
G156,47249083.33,81614.20001,0.3139,47.70866666,1.363166667,198.0696667,577.2318333,61067.38334
G157,48078150,79792.2,0.306893333,48.15233334,1.344,166.1526667,545.1826667,59100.26667
G158,48497933.33,101844.1333,0.391706667,49.11733333,1.325666667,136.727,529.3966667,72422.86667
G159,43333266.67,86489.73333,0.332653334,47.90233333,1.35,129.3866667,547.1533333,64224.1
G160,50116233.33,89275.13334,0.34337,46.876,1.373333333,178.622,561.5953333,65139.36667
