"plotId","Grain_yield","Days_to_flowering","Days_to_maturity","SDWT_100Wgh_g"
"8T3QP619e0b05","148.33333","46.333332","108.0","14.083333"
"8T3QPad6aa6b4","177.66667","47.666668","105.666664","15.786667"
"8T3QPbdee8ece","80.666664","34.666668","106.333336","18.69"
"8T3QP7689ab9f","96.666664","36.0","104.666664","29.836668"
"8T3QP93162302","113.666664","32.333332","103.0","31.803335"
"8T3QP7665a7e1","76.666664","36.666668","104.666664","38.603333"
"8T3QPed00e015","142.0","35.0","103.666664","38.056667"
"8T3QPa8901edc","117.0","35.333332","104.333336","33.67"
"8T3QP2470b472","151.66667","40.0","101.0","24.976664"
"8T3QP017b8574","181.0","33.333332","102.333336","34.356663"
"8T3QP390be481","151.66667","34.0","102.333336","37.7"
"8T3QP02b02c20","108.0","42.666668","103.0","16.736668"
"8T3QP1b22a845","146.0","35.333332","102.333336","37.00333"
"8T3QP853fcb4e","147.66667","43.333332","103.666664","22.083334"
"8T3QP81a6a3c8","67.333336","33.333332","100.0","36.86"
"8T3QP6d0a7749","128.33333","37.666668","102.0","23.089998"
"8T3QPfb646fab","87.0","33.333332","102.333336","39.08"
"8T3QPa8d85f35","60.333332","32.666668","101.0","25.76333"
"8T3QP20221b5b","108.666664","44.0","103.0","21.906668"
"8T3QP3e8da9ed","99.0","34.333332","103.333336","35.466663"
"8T3QP0c47e50c","125.0","42.666668","106.0","23.773333"
"8T3QPb9aeba6a","171.66667","37.666668","101.666664","35.45"
"8T3QPacc8a904","115.333336","42.333332","107.0","23.75"
"8T3QPc517eb0b","152.0","42.333332","103.0","17.093332"
"8T3QP0fa45394","142.33333","32.666668","102.0","39.076664"
"8T3QPc81aaf87","145.0","35.0","103.0","38.236668"
"8T3QPcc3f39c2","119.0","32.0","101.333336","38.420002"
"8T3QP4056b5ea","96.0","43.666668","99.333336","17.94"
"8T3QP2b21308e","134.0","37.666668","105.0","29.17"
"8T3QPbd9dcaef","85.666664","32.0","101.0","36.736668"
"8T3QPe0896bfd","102.0","39.0","103.333336","25.019999"
"8T3QP263bc3a4","87.0","32.666668","102.666664","38.600002"
"8T3QP8b7141c5","116.0","39.333332","101.0","26.236666"
"8T3QPf990abd3","158.66667","33.0","99.333336","40.516666"
"8T3QP103c2baa","134.66667","33.333332","104.0","37.36333"
"8T3QPed679b39","70.666664","47.666668","107.666664","22.846666"
"8T3QPec982cdd","134.0","41.333332","101.333336","21.720001"
"8T3QP8de5595d","90.666664","34.0","102.333336","35.486668"
"8T3QP703da681","118.333336","35.666668","101.333336","43.440002"
